"year" "sex" "age" "population"
2033 "female" "45-49" 10165.5
2033 "female" "50-54" 9753.3
2033 "female" "55-59" 8980.7
2033 "female" "60-64" 7979.7
2033 "female" "65-69" 6532.3
2033 "female" "70-74" 4858.9
2033 "female" "75+" 5579.6
2034 "male" "0-4" 11175.3
2034 "male" "5-9" 11130.8
2034 "male" "10-14" 11020.9
2034 "male" "15-19" 11046.2
2034 "male" "20-24" 11063.6
2034 "male" "25-29" 11010
2034 "male" "30-34" 10835.1
2034 "male" "35-39" 10731.7
2034 "male" "40-44" 10631.2
2034 "male" "45-49" 10376.1
2034 "male" "50-54" 9885.1
2034 "male" "55-59" 8972.2
2034 "male" "60-64" 7863.7
2034 "male" "65-69" 6213.9
2034 "male" "70-74" 4456.9
2034 "male" "75+" 4631.1
2034 "female" "0-4" 10906.3
2034 "female" "5-9" 10876.3
2034 "female" "10-14" 10783.6
2034 "female" "15-19" 10789.8
2034 "female" "20-24" 10658.6
2034 "female" "25-29" 10708.5
2034 "female" "30-34" 10685.4
2034 "female" "35-39" 10596.8
2034 "female" "40-44" 10415
2034 "female" "45-49" 10179.5
2034 "female" "50-54" 9847.3
2034 "female" "55-59" 9081.8
2034 "female" "60-64" 8146.3
2034 "female" "65-69" 6724.1
2034 "female" "70-74" 5044.8
2034 "female" "75+" 5844.3
2035 "male" "0-4" 11172.2
2035 "male" "5-9" 11141.7
2035 "male" "10-14" 11041.7
2035 "male" "15-19" 11016.6
2035 "male" "20-24" 11040.7
2035 "male" "25-29" 11006.4
2035 "male" "30-34" 10846.7
2035 "male" "35-39" 10732.3
2035 "male" "40-44" 10636.3
2035 "male" "45-49" 10403.8
2035 "male" "50-54" 9968.7
2035 "male" "55-59" 9074.1
2035 "male" "60-64" 8000
2035 "male" "65-69" 6396.8
2035 "male" "70-74" 4605.4
2035 "male" "75+" 4843.2
2035 "female" "0-4" 10902.8
2035 "female" "5-9" 10885.8
2035 "female" "10-14" 10802.4
2035 "female" "15-19" 10800.4
2035 "female" "20-24" 10631
2035 "female" "25-29" 10684.9
2035 "female" "30-34" 10682.6
2035 "female" "35-39" 10595.8
2035 "female" "40-44" 10436.9
2035 "female" "45-49" 10202.6
2035 "female" "50-54" 9919.3
2035 "female" "55-59" 9184.7
2035 "female" "60-64" 8297.7
2035 "female" "65-69" 6910.5
2035 "female" "70-74" 5234.1
2035 "female" "75+" 6113.8
2036 "male" "0-4" 11167.3
2036 "male" "5-9" 11149.7
2036 "male" "10-14" 11066.7
2036 "male" "15-19" 10989.1
2036 "male" "20-24" 11016.8
2036 "male" "25-29" 11003.7
2036 "male" "30-34" 10860.3
2036 "male" "35-39" 10731.4
2036 "male" "40-44" 10634.8
2036 "male" "45-49" 10431.3
2036 "male" "50-54" 10031.9
2036 "male" "55-59" 9183.7
2036 "male" "60-64" 8118.8
2036 "male" "65-69" 6573.1
2036 "male" "70-74" 4753.1
2036 "male" "75+" 5061.2
2036 "female" "0-4" 10897.7
2036 "female" "5-9" 10892.5
2036 "female" "10-14" 10825.3
2036 "female" "15-19" 10771.2
2036 "female" "20-24" 10651.8
2036 "female" "25-29" 10660.5
2036 "female" "30-34" 10673.4
2036 "female" "35-39" 10593.7
2036 "female" "40-44" 10457
2036 "female" "45-49" 10226.8
2036 "female" "50-54" 9966.9
2036 "female" "55-59" 9301.7
2036 "female" "60-64" 8418.6
2036 "female" "65-69" 7095.8
2036 "female" "70-74" 5406.4
2036 "female" "75+" 6407.1
2037 "male" "0-4" 11161.9
2037 "male" "5-9" 11154.9
2037 "male" "10-14" 11088
2037 "male" "15-19" 10973.5
2037 "male" "20-24" 10995
2037 "male" "25-29" 10985.9
2037 "male" "30-34" 10879.1
2037 "male" "35-39" 10732.6
2037 "male" "40-44" 10632.4
2037 "male" "45-49" 10454.1
2037 "male" "50-54" 10079.5
2037 "male" "55-59" 9297.8
2037 "male" "60-64" 8221.7
2037 "male" "65-69" 6745.6
2037 "male" "70-74" 4903.3
2037 "male" "75+" 5276.9
2037 "female" "0-4" 10891.4
2037 "female" "5-9" 10896.5
2037 "female" "10-14" 10844.7
2037 "female" "15-19" 10754.1
2037 "female" "20-24" 10675.5
2037 "female" "25-29" 10626.5
2037 "female" "30-34" 10663.3
2037 "female" "35-39" 10592.3
2037 "female" "40-44" 10479.3
2037 "female" "45-49" 10249.5
2037 "female" "50-54" 9994.3
2037 "female" "55-59" 9413.9
2037 "female" "60-64" 8531.2
2037 "female" "65-69" 7274.9
2037 "female" "70-74" 5580.8
2037 "female" "75+" 6702.5
2038 "male" "0-4" 11155.3
2038 "male" "5-9" 11157
2038 "male" "10-14" 11105.8
2038 "male" "15-19" 10970.2
2038 "male" "20-24" 10972.8
2038 "male" "25-29" 10961.7
2038 "male" "30-34" 10898.8
2038 "male" "35-39" 10733.2
2038 "male" "40-44" 10629.7
2038 "male" "45-49" 10471.9
2038 "male" "50-54" 10116.3
2038 "male" "55-59" 9410.1
2038 "male" "60-64" 8315
2038 "male" "65-69" 6910.8
2038 "male" "70-74" 5050.2
2038 "male" "75+" 5495.7
2038 "female" "0-4" 10884.8
2038 "female" "5-9" 10898
2038 "female" "10-14" 10860.7
2038 "female" "15-19" 10748.9
2038 "female" "20-24" 10701
2038 "female" "25-29" 10592.7
2038 "female" "30-34" 10645.5
2038 "female" "35-39" 10590.1
2038 "female" "40-44" 10493.3
2038 "female" "45-49" 10277.1
2038 "female" "50-54" 10009.6
2038 "female" "55-59" 9522.1
2038 "female" "60-64" 8632.9
2038 "female" "65-69" 7445.1
2038 "female" "70-74" 5755.1
2038 "female" "75+" 7000.5
2039 "male" "0-4" 11148.5
2039 "male" "5-9" 11156.9
2039 "male" "10-14" 11120.1
2039 "male" "15-19" 10979.1
2039 "male" "20-24" 10945
2039 "male" "25-29" 10945
2039 "male" "30-34" 10905.1
2039 "male" "35-39" 10739.5
2039 "male" "40-44" 10627.3
2039 "male" "45-49" 10484
2039 "male" "50-54" 10146.5
2039 "male" "55-59" 9510.9
2039 "male" "60-64" 8407.3
2039 "male" "65-69" 7064.1
2039 "male" "70-74" 5195.5
2039 "male" "75+" 5715.2
2039 "female" "0-4" 10877.6
2039 "female" "5-9" 10896.6
2039 "female" "10-14" 10873.4
2039 "female" "15-19" 10755.9
2039 "female" "20-24" 10717.5
2039 "female" "25-29" 10569.1
2039 "female" "30-34" 10618.3
2039 "female" "35-39" 10590.5
2039 "female" "40-44" 10499.5
2039 "female" "45-49" 10303.6
2039 "female" "50-54" 10024.6
2039 "female" "55-59" 9615.4
2039 "female" "60-64" 8732.3
2039 "female" "65-69" 7603
2039 "female" "70-74" 5926.9
2039 "female" "75+" 7302
2040 "male" "0-4" 11141.5
2040 "male" "5-9" 11153.9
2040 "male" "10-14" 11131.2
2040 "male" "15-19" 11000.2
2040 "male" "20-24" 10916.2
2040 "male" "25-29" 10922.9
2040 "male" "30-34" 10901.9
2040 "male" "35-39" 10751.6
2040 "male" "40-44" 10628.6
2040 "male" "45-49" 10489.9
2040 "male" "50-54" 10175.3
2040 "male" "55-59" 9593.2
2040 "male" "60-64" 8505.4
2040 "male" "65-69" 7189.2
2040 "male" "70-74" 5351.5
2040 "male" "75+" 5936.3
2040 "female" "0-4" 10870.2
2040 "female" "5-9" 10893.4
2040 "female" "10-14" 10883
2040 "female" "15-19" 10774.7
2040 "female" "20-24" 10728.1
2040 "female" "25-29" 10542
2040 "female" "30-34" 10595.3
2040 "female" "35-39" 10588.1
2040 "female" "40-44" 10499.2
2040 "female" "45-49" 10326.2
2040 "female" "50-54" 10048.5
